Tarih,PM10,PM10Debi,SO2,NO2,NOX,NO,O3,HavaSicakligi,RuzgarHizi,BagilNem,HavaBasinc,PM10,PM10Debi,NO2,NOX,NO,HavaSicakligi,RuzgarHizi,HavaBasinc,PM10,PM10Debi,NO2,NOX,NO,HavaSicakligi,RuzgarHizi,BagilNem,HavaBasinc,PM10,PM10Debi,SO2,NO2,NOX,NO,O3,HavaSicakligi,RuzgarHizi,BagilNem,HavaBasinc,SO2,NO2,NOX,NO,O3,HavaSicakligi,RuzgarHizi,BagilNem,HavaBasinc,PM10,PM10Debi,SO2,NO2,NOX,NO,O3,HavaSicakligi,RuzgarHizi,BagilNem,HavaBasinc,PM10,PM10Debi,SO2,NO2,NOX,NO,O3,HavaSicakligi,RuzgarHizi,BagilNem,HavaBasinc,PM10,PM10Debi,SO2,NO2,NOX,NO,O3,HavaSicakligi,RuzgarHizi,BagilNem,HavaBasinc,PM10,PM10Debi,SO2,NO2,NOX,NO,HavaSicakligi,RuzgarHizi,BagilNem,HavaBasinc,PM10,PM10Debi,SO2,NO2,NOX,NO,O3,HavaSicakligi,RuzgarHizi,BagilNem,HavaBasinc,PM10,PM10Debi,NO2,NOX,NO,PM10,SO2,NO2,NOX,NO,HavaSicakligi,RuzgarHizi,BagilNem,HavaBasinc,PM10,PM10Debi,SO2,NO2,NOX,NO,O3
1/1/2020,17.385365833333,16.618409166667,6.4444295833333,NaN,136.53773833333,57.6745725,15.120556708333,NaN,NaN,NaN,NaN,23.128939166667,0.83040598333333,5.9745802083333,10.156483875,3.26714575,6.3054132083333,0.6455211375,991.477725,9.5889665833333,0.89957145,16.648038041667,NaN,14.031265833333,6.8590571666667,0.89175235,111.47317291667,1015.0174583333,32.487536521739,0.856501,2.096899625,41.259323043478,119.38484469565,51.062432521739,11.811529083333,6.0171052916667,0.79447458333333,88.471774166667,1022.6425416667,8.1842967916667,14.011480833333,15.455457391304,1.1887058333333,36.047739583333,5.9205141666667,4.4491533333333,95.37882625,1020.4385066667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.189244166667,16.53813875,2.2345541666667,27.4135425,38.727231666667,8.9041733333333,21.024664166667,5.5627845833333,1.3221995833333,98.261667083333,1019.6911316667,15.655105217391,16.68519625,3.9692434782609,18.567068333333,21.703667619048,3.1852073913043,30.861932916667,6.9465365217391,2.4363256521739,86.540233043478,1022.5990004348,23.478682083333,16.617997083333,2.623905,NaN,67.317557826087,26.264506666667,5.9253820833333,0.7257075,95.601119166667,1021.89866625,24.267307083333,16.704072083333,12.4040425,23.74516375,78.459290434783,6.2375725,23.756548333333,6.9784329166667,1.0512316666667,86.67567625,1023.19291625,39.93660375,16.578026666667,39.913125,112.10882875,47.0326225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.3678015,12.715355083333,16.183551958333,3.4681967916667,27.496799583333
12/31/2019,9.4439870833333,16.632567916667,3.77648375,NaN,136.89476916667,57.914026666667,18.327962916667,NaN,NaN,NaN,NaN,10.434758666667,0.83025016666667,1.7193993083333,5.9436905833333,3.1522612083333,7.5708472083333,2.1354298625,991.970175,7.7728202083333,0.902537475,4.3182773333333,NaN,13.61718625,8.1855759583333,2.4130415208333,114.57620416667,1013.7901666667,NaN,0.85887458333333,1.1375424166667,26.161059,59.494662217391,21.218703333333,20.844754416667,8.038021125,1.6543688333333,90.981565,1022.7182916667,8.9810071666667,9.992975,11.42523,1.0827769565217,39.17046875,8.16722125,5.35336875,91.695007083333,1020.5267708333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.670115416667,16.490362083333,1.5582029166667,20.566349166667,24.833055416667,3.872821,27.924347083333,7.26577625,1.7148941666667,100,1019.9785925,7.8078541666667,16.6871225,0.76561136363636,12.30249875,15.66237,2.8942384210526,31.81947625,8.2982779166667,1.8501595833333,94.356832916667,1022.828285,10.900609166667,16.6224525,0.69277250416667,NaN,NaN,17.231983809524,7.6070491666667,1.2858541666667,99.064569583333,1022.0097770833,13.219445238095,16.70595,NaN,10.2718,59.364491052632,1.8743893571429,31.492313809524,8.7533675,1.116698,89.239512,1023.140773,17.827401666667,16.631182083333,32.992678333333,95.112320833333,40.52592625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9713059166667,10.523978583333,3.5526727083333,37.942946666667
12/30/2019,12.521000416667,16.596843333333,4.1373095833333,NaN,130.38188708333,53.707382083333,18.604357541667,NaN,NaN,NaN,NaN,6.430615625,0.83026169166667,1.5168170791667,6.025987125,3.330710375,7.1951585,2.742356625,986.857575,6.0217667916667,0.89308565416667,4.856244125,NaN,13.4615925,7.7562525,2.844516125,113.90738333333,1007.205875,26.23564875,0.84897658333333,0.79285916666667,24.510322608696,52.289567565217,17.6536035,12.682043375,6.7948256666667,2.2468374583333,88.949995416667,1020.1728333333,16.721377,16.22063875,19.917235217391,2.4145204166667,27.320570416667,7.20848625,4.8341391666667,92.10952,1017.6790275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.81562,16.444565833333,2.1607275,26.401507083333,38.950132916667,8.2466875,13.956490416667,6.0075216666667,1.93033375,97.50801375,1017.3453283333,13.913940833333,16.685891666667,4.4483525,19.55741,26.616786521739,5.2631,13.778852083333,6.7846458333333,2.9785416666667,91.884577083333,1020.2634025,17.048611666667,16.575268333333,1.8058529166667,NaN,NaN,11.9458725,6.48571,1.6680695833333,94.1538825,1019.692195,20.901423333333,16.707,NaN,22.584435,80.00043,7.6997432083333,13.000455833333,7.0356945833333,1.6042016666667,90.750096666667,1020.7672220833,24.213682083333,16.6627475,29.303563333333,90.2012425,39.740342083333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.489791833333,0.86519445833333,7.753112,5.8582259583333,9.2676119583333,3.409386125,35.774916666667
12/29/2019,8.278555,16.593382916667,3.6252966666667,NaN,130.30757,53.6604725,15.695899541667,2.6249047368421,1.3840252631579,92.231870526316,999.32626263158,5.004788,0.83028505,1.7786600958333,5.6763285416667,2.9083650833333,4.5542245,0.9380428625,987.05379583333,5.3461960833333,0.8925423875,5.52391025,NaN,14.429466666667,5.1624349166667,0.91352860869565,114.7437,1008.5135416667,NaN,0.855241375,0.7134815,25.467353608696,69.778540565217,29.095838375,19.210422083333,3.952757,0.90042204166667,89.853152916667,1020.4520416667,9.772822125,16.116845416667,21.69240173913,3.75934625,25.050828333333,4.23532625,3.7202575,99.13842375,1018.0798054167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8194970833333,16.424080416667,1.5853166625,14.5578675,20.087055,NaN,31.431137916667,3.4706095833333,0.95456333333333,99.499020833333,1017.3395395833,7.0577654166667,16.684475,4.7004570833333,13.906373333333,22.002984761905,5.439616,28.307610833333,4.3219308333333,1.1152983333333,93.18688875,1020.4439170833,9.9736320833333,16.5588975,1.5331775041667,NaN,NaN,22.962227142857,3.803145,1.0159375,95.69116,1019.68734,13.238340416667,16.708116666667,NaN,13.787060825,70.434253478261,6.2651709416667,25.5385175,4.4707920833333,0.61385375,91.12370875,1021.0233895833,12.717814583333,16.623753333333,27.902792083333,83.566270416667,36.3682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.006620833333,0.85777633333333,NaN,8.1059990416667,12.018450791667,3.9124525,27.62843375
12/28/2019,15.134900416667,16.61216,4.72792125,NaN,153.09141291667,68.425137083333,12.78220225,4.3779945833333,0.90683666666667,85.362277083333,996.73607541667,10.089516833333,0.8303360125,4.6357436958333,9.414031875,3.64258325,5.9960894583333,0.7017445125,981.84555,9.4855379583333,0.89044101666667,13.445146708333,NaN,13.253789583333,6.6399950416667,0.82247440909091,110.75560333333,1002.1351583333,32.236280416667,0.85273845833333,1.655361625,39.01645,95.114355565217,36.979573916667,11.831176083333,6.1208659583333,0.93665804166667,83.5191425,1017.0997916667,8.6674914583333,13.334905,14.921996086957,1.1343541666667,40.303171666667,5.5395145833333,5.307875,92.529452083333,1014.9051595833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.44695375,16.41502625,3.62664375,27.08646125,36.439473333333,6.49063625,21.701560416667,5.9518470833333,1.18033,92.868839583333,1014.1459070833,14.683410833333,16.684725,3.4561458333333,22.70692375,30.611092608696,5.53705,24.782562916667,6.4840275,1.7044995833333,84.15752125,1017.1703616667,20.705912083333,16.578292083333,3.2771800416667,NaN,51.651240416667,22.685800833333,5.857805,1.0835070833333,89.992069583333,1016.47996625,23.024960416667,16.703666666667,2.6976004166667,28.147038333333,89.503893333333,9.785196575,20.621170833333,6.8892166666667,0.98410208333333,80.638252916667,1017.7586279167,31.491402083333,16.55743625,39.9306675,107.45006375,44.093635833333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.868422083333,0.86531279166667,15.11567325,12.623246166667,17.511389083333,4.8881430833333,27.770516416667
12/27/2019,14.575352083333,16.609437916667,5.6858047619048,NaN,195.24453958333,95.752794583333,11.378292208333,5.8756870833333,0.75123166666667,80.029838333333,996.86601958333,14.952965958333,0.83029890833333,10.147737666667,15.783650833333,4.4593187083333,6.9890577916667,0.51846869583333,982.39085,10.135920611111,NaN,26.391405333333,NaN,13.561084583333,7.4893154583333,0.692488185,108.70790416667,1002.6928916667,26.969827916667,0.85260954166667,1.1138649166667,45.393218217391,106.37007991304,39.932509791667,14.185275,7.5021459166667,0.947138375,78.74397875,1017.2770833333,8.369776875,21.886390416667,27.955054347826,3.7629095833333,30.793377916667,6.8183975,5.1257729166667,90.933095,1015.047475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.436649583333,16.422517083333,1.7021891583333,20.511533333333,29.715109583333,NaN,33.723724583333,6.9011533333333,1.4218133333333,90.412979583333,1014.22900375,13.419956666667,16.684185416667,3.2227925,18.715808333333,33.6842655,NaN,34.355441666667,7.8363675,1.8364325,79.310440416667,1017.2365370833,17.97929,16.590168333333,3.31934,NaN,76.830494210526,30.19132826087,7.3764429166667,1.0297508333333,85.042745416667,1016.4839254167,21.232564166667,16.707136666667,NaN,25.208007083333,82.100583043478,8.11574385,25.607432916667,8.0014820833333,1.0216033333333,78.818282916667,1017.79348625,23.876563333333,16.51046,38.897358333333,101.21806541667,40.598332083333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.26964625,0.869905,16.089672,27.779976458333,34.571717416667,6.7917402916667,21.367034333333
12/26/2019,12.876232083333,16.664445833333,NaN,NaN,129.55910272727,43.574779545455,12.045687125,7.3506481818182,1.3249609090909,86.004201363636,990.19904318182,7.9801077083333,0.83014532083333,2.2078810375,6.462895125,3.1590256666667,8.2488414583333,1.4198504541667,971.14872916667,8.9059646666667,0.873733775,5.4899691666667,NaN,13.211645833333,8.880408,1.4986569541667,110.1007375,987.57787916667,19.147736666667,0.84282975,1.3386319583333,31.85568826087,82.459734521739,34.302364291667,13.660004291667,9.3520365,0.818458,81.499744583333,1010.4167916667,10.46128225,14.09318125,17.971637391304,2.5101141666667,29.061027916667,8.6368958333333,4.7852708333333,92.018104583333,1008.2960695833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.629429583333,16.399621666667,1.9585974958333,20.119603333333,28.105920434783,6.6016727272727,22.536734166667,8.6235195833333,1.62488875,95.1760275,1007.2671095833,6.9444329166667,16.68471375,4.4878475,6.8853479166667,10.105206,2.1119317391304,36.82568,9.6777691666667,2.19527125,81.150630833333,1010.2928891667,14.998744583333,16.62044625,4.4970029166667,NaN,69.1017605,29.157392916667,9.0235141666667,1.0280416666667,90.810166666667,1009.3816525,13.078115416667,16.7078,NaN,9.5234458333333,59.101767826087,1.9455816333333,27.712715416667,9.6194708333333,1.2638133333333,81.94216625,1010.7987920833,17.574082727273,16.45579173913,31.025497727273,91.513105454545,39.547899090909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.729993083333,0.87392141666667,10.977151333333,10.201318916667,14.33135375,4.1300340416667,26.747868291667
12/25/2019,13.95086375,16.666952083333,5.5510216666667,79.732665,138.03988125,38.02852875,9.2063759583333,8.6422520833333,1.0684033333333,81.466385,986.35293708333,10.950470208333,0.83021372083333,4.2530956666667,8.6794098333333,3.3749945,9.1886992083333,0.9136815375,964.44737916667,8.8354684583333,NaN,12.323378958333,NaN,13.593681666667,9.8020366666667,1.0886171416667,109.01611666667,979.2947,28.541112083333,0.843924,1.7922376666667,34.98078173913,92.219619521739,38.748368458333,7.341328875,10.420755708333,1.0990659166667,79.560645833333,1006.4225416667,11.196142083333,19.101209583333,25.565546086957,4.01787,17.208967916667,9.37251375,5.1271591666667,95.03816,1004.22393,7.88016125,16.373660416667,NaN,1.1571208333333,2.53278375,0.96157416666667,38.373089166667,9.7262283333333,3.042035,93.071902916667,1000.2207154167,13.806385,16.385059583333,2.6637420375,19.795067916667,26.183333333333,NaN,20.23415625,9.8020266666667,1.3346733333333,93.72946875,1003.3983045833,12.43315625,16.685765,4.7805679166667,16.556378333333,24.031420869565,4.704285,19.512278333333,10.4295075,3.0351670833333,85.361145416667,1006.25379875,21.850745833333,16.659192083333,3.2485999958333,NaN,69.994586086957,31.83047125,10.43007625,1.32747875,84.320610833333,1005.5529795833,18.030069166667,16.708783333333,NaN,18.61475125,71.342607826087,3.8423127375,14.470120416667,10.590403333333,1.1949304166667,84.356236666667,1006.8137225,25.423132916667,16.466342083333,33.255943333333,99.779353333333,43.312496666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.965475833333,0.87824183333333,13.82720975,27.939253333333,37.615437375,9.6761847916667,20.935120708333
12/24/2019,13.237120416667,16.664016666667,6.5360745833333,NaN,156.31024791667,38.6425375,8.8922695,9.95122875,0.80371916666667,79.657690416667,979.03151791667,12.059155416667,0.83030584583333,9.3003519583333,13.686458,3.5288873333333,10.052753458333,0.64665650909091,952.32157083333,9.7457065,0.8927311,28.469592708333,37.243613157895,13.961339583333,10.513937708333,0.80526858947368,106.76269666667,963.31970416667,34.095048695652,0.83357433333333,3.6029885454545,52.432827272727,168.94474718182,79.387966956522,3.3773225454545,10.72481173913,1.0830072608696,85.312473913043,998.97201304348,13.2973525,22.289389166667,29.207435217391,3.81460125,31.128928333333,10.7242575,4.4213408333333,87.70414625,996.68013833333,10.087835416667,16.379822916667,NaN,4.0799216666667,6.3276395833333,1.48106625,48.324640833333,10.719749166667,1.8522079166667,90.911437083333,992.85729875,15.54534125,16.357309166667,3.3681428333333,32.473330416667,52.709859166667,15.234693636364,22.050555833333,10.23842,1.59630375,91.919444166667,995.82256666667,15.147943333333,16.684325,9.2158758333333,28.230620833333,41.59903826087,9.24126125,19.127750833333,11.201559166667,2.76777625,86.615465416667,998.69472125,23.98637875,16.62116625,2.7993820833333,NaN,133.68177695652,63.073307083333,10.61581375,1.3144104166667,90.39384,997.91217375,19.088655416667,16.706758333333,2.4837323173913,35.523075416667,100.22625958333,11.961557125,10.90307125,10.989992916667,1.04732625,89.126715416667,999.24171583333,29.140948636364,16.466925,45.840541363636,132.16829363636,56.455549545455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.974287916667,0.87901779166667,NaN,46.9715,63.472740666667,16.501240625,17.66155225
12/23/2019,17.22189,16.659242083333,6.1314070833333,NaN,132.51050083333,29.407043333333,24.59333375,15.12306375,1.46769,48.554384166667,978.47395791667,22.71170375,0.830194425,10.437528833333,15.089464416667,3.7882303333333,14.394005,1.0524935041667,951.0791375,6.0886180416667,0.90575524583333,15.251638333333,NaN,13.526380833333,14.75451875,1.7130259583333,71.82706875,960.83085833333,31.795143333333,0.82666054166667,2.4092065833333,37.024838608696,74.031345782609,23.525438708333,38.633673416667,17.383656666667,2.2420893333333,44.85303375,998.0975375,13.90982625,5.801695,6.2402939130435,0.33580086956522,74.56857125,17.1409025,7.0307916666667,47.663458333333,995.62335458333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.463266666667,16.348124583333,3.5531982416667,8.5365425,9.333245,NaN,70.495382916667,17.586709166667,3.5853979166667,47.347604166667,995.28942083333,15.588451666667,16.68465,8.1807933333333,8.3216841666667,11.283181111111,NaN,66.482775416667,17.84799375,2.7621916666667,42.225113333333,997.96145958333,22.167321666667,16.634750833333,4.1487737625,NaN,52.849279,15.126820416667,17.85534,2.8012720833333,41.381541666667,997.29608291667,21.924455,16.702458333333,2.1178373541667,11.024147083333,55.513767826087,1.3598229083333,65.112002916667,17.528979166667,4.66077625,49.55138125,998.44643208333,21.831246666667,16.448296666667,33.634344583333,76.048732083333,27.66548375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.60921175,0.86746479166667,NaN,32.868007083333,37.73437975,4.8663732083333,48.394575416667
