Tarih,PM10,PM10Debi,SO2,NO2,NOX,NO,O3,HavaSicakligi,RuzgarHizi,BagilNem,HavaBasinc,HKI
10/11/2019,34.933660989734136,10.868268175757636,7.973705128581934,30.169526678584965,61.32359476755867,29.54770510970745,40.046043486269,33.03836174894864,1.4533491244617285,85.78920020992851,1014.3351660510001,1.0
10/10/2019,27.8623401903958,10.866297746360273,11.454618301851776,26.834906805279378,60.138535010050106,27.79887852243597,41.84033766335225,29.783968717532808,1.7284065078463229,83.7606547321426,1011.7678905357147,1.0
10/9/2019,16.61100577430558,10.868845668560695,9.333957038426043,21.383804031061796,36.13384085646602,16.51932268116408,39.54158542789187,22.716918371212092,1.5686220344697004,83.9442434999999,1016.5219922348517,1.0
10/8/2019,13.960618768267029,10.875856744318092,3.7580994995370776,18.26219381279514,29.547900571070198,14.131497533257342,43.698590204613,20.207490833333363,1.9483687696969691,93.831092708333,1010.2152226893782,1.0
10/7/2019,18.612862860164114,10.872630806653484,5.8298786805556215,18.76648219726866,34.31150167795451,17.008869655811164,45.003492923363,24.177106401515275,1.755534028030303,78.10118820833291,1004.6792831439308,1.0
10/6/2019,13.325101742690082,10.865868200938827,4.713798924933902,15.621395265222422,26.7299541994001,13.625478302243662,47.146765766571754,19.931083522727274,1.7117159318526072,83.89855041666681,1002.525962651512,1.0
10/5/2019,20.189556895320166,10.860048300378788,6.655152747340188,18.312547936355266,30.25519887606036,14.381210110160739,43.42199180210099,21.830483563900085,1.9796925933959209,86.00310413043479,999.3771856291272,1.0
10/4/2019,47.92035486956513,10.85217850347797,18.76406158022485,41.093852805064564,70.49245994969327,26.31079495558217,49.243552159293614,36.078319604978454,1.4444721276515182,65.8586024107143,1001.3520679545427,1.0
10/3/2019,43.43637535835064,10.857536208592132,14.231722226389,41.51390053359679,70.57659856878948,26.08239547691037,49.21959832596037,33.96240481779245,1.1904181276679844,72.7839867137682,1000.7845325296364,1.0
10/2/2019,37.785138434027814,10.860626205337436,10.356458880092578,28.255449253957725,43.08465978232994,16.411755541666675,57.04549065081512,28.225177386363548,1.4498439943181816,79.92228991666691,1002.4860578787793,1.0
10/1/2019,38.80726998011372,10.850938070505398,13.49925078460148,33.122312813143054,55.041180267080456,21.287215598855287,55.55928969554913,32.143840995179,1.4409362365837146,71.57603461363631,1004.2756607403608,1.0
9/30/2019,30.671426485735324,10.845470924316123,12.912741412325563,35.86690663261457,59.370569842721174,22.71496644414337,47.06338489583339,34.889989342286725,1.574584239393939,72.1075302500003,1004.3274399242453,1.0
