Tarih,PM10,PM10Debi,SO2,NO2,NOX,NO,O3,HavaSicakligi,RuzgarHizi,BagilNem,HavaBasinc
1/1/2020,26.22717049909411,10.869743028030335,10.424480154991956,33.35570886602997,87.12610158652055,34.616069227285635,25.561607442708247,15.906835250780109,1.5695844002574326,91.5793076903131,1013.9235158469527
12/31/2019,19.347735309847362,10.87274128939394,9.464290318644792,27.590221636403513,77.16744567338549,30.356114176480347,30.736919882440624,15.5772354798644,2.04298886180223,93.3304298776319,1013.9239599816618
12/30/2019,21.309217090277727,10.86213595189391,9.746531324074075,29.552746338674947,79.81331590679454,30.35118758653867,21.686346937500126,14.347333688197766,2.3452780580143573,92.2654076776313,1011.4712897089253
12/29/2019,17.983113499999963,10.854746490530394,8.842539421296301,27.73256927841856,78.42200624578199,31.903103176373897,26.404492390625002,11.808056695773546,1.3746333205472892,93.6626663026316,1011.7085544437829
12/28/2019,25.107150052083274,10.851254085984879,8.968796263888889,33.4079323745445,86.33181669567468,34.20064606987198,24.770681218750124,15.54851345075756,1.5630058830234104,88.0981895833329,1008.6500966666699
12/27/2019,23.99727002662033,10.849165481818241,8.85513215317461,36.023690280048875,93.85217137867447,37.145072793785076,26.222958473958375,15.97584939393969,1.5372488338636303,85.3158002083337,1008.8083397727299
12/26/2019,19.165278598800473,10.847919083481546,8.8443408203042,28.059882454401688,78.8705501388687,31.380379998931087,25.87035079687525,16.42294886466937,1.7749317712809936,87.98605167803021,1002.0230383195599
12/25/2019,23.242115270833278,10.851987992045334,9.250252253703676,32.322799890695464,85.38891258391303,32.72487422164947,18.41017970312504,18.0167138939393,1.795837637500003,87.400750666667,998.148614431818
12/24/2019,25.02889702072366,10.846904764015212,10.291767466242112,41.37158218727762,108.64664465339949,41.5396101773085,20.183261422348316,21.627347072014274,1.53281993419099,87.64907439130471,990.1370155039527
12/23/2019,24.727290538194556,10.844310947348424,10.197044567592588,30.707674268482567,76.2333625864676,28.637641512635778,54.5756194895835,21.48942272727282,2.6991762390151575,55.2401857083333,989.3281172727263
12/22/2019,46.05880871527784,10.843127411363636,11.157972593055588,34.77864474744025,99.82255829071313,38.658655975439814,47.69411930208311,30.938670454545544,1.9946436356060573,55.127312124999904,1000.8322887121209
12/21/2019,74.90278500846783,10.851138287155647,15.261649845652212,54.61014257456392,188.12584325928762,70.84394423605036,18.613625064785097,54.02641485963666,1.4088919972661391,69.8284951068841,1009.5798819548883
12/20/2019,79.93288427728258,10.833490050541151,22.831403444444486,60.34556986798131,196.67771254821676,86.70184138548937,13.822542932291686,55.114009965909375,1.0998573337121185,78.5582504527776,1017.684565810609
12/19/2019,70.89298347222218,10.820393960606028,20.248196587963143,55.92997455582916,189.33690160811176,73.96963548717956,16.029336942708337,50.25385818939394,1.1717919161363546,74.2105105416666,1023.330285189391
12/18/2019,69.05045769097276,10.82731399614322,19.82279653240729,53.81767844833677,180.378540419314,79.89797749798619,19.086788828125,51.36604228787885,1.4716802143939338,71.6411696666666,1021.4593362878819
12/17/2019,69.49718895833276,10.840024141666788,24.4668274671297,59.11116027767949,199.93632803619488,84.7921889111692,17.401326784564414,48.90258718412354,1.2331415939229282,70.7678634420291,1019.4740646031028
12/16/2019,52.592063684329666,10.85080217417658,11.485149339693978,51.60342741254856,166.31124408341023,75.55991880523514,16.924452717761927,38.12234835540185,1.0885336755958799,80.69161383152179,1019.6344275246973
12/15/2019,31.896952115640087,10.846100907476913,9.268369768055623,40.99643962954698,122.88702954194622,52.47843627271509,21.71280600520838,30.450818578227633,1.2182554007575794,80.6950432916669,1007.8405129545455
12/14/2019,35.7509738368055,10.808889786742453,14.471544843518513,47.14137106056713,130.78920084991574,53.527662178650985,22.08473795833329,29.864296227272362,1.3718974055096382,72.54015562499998,994.1081748863727
12/13/2019,69.34433442389108,10.80860710538663,16.774145644781225,53.34791718731923,172.43551180426982,80.34923077849436,10.372348787364075,35.81828402262927,1.0397689669421517,88.48631273863649,994.4744275895272
12/12/2019,72.18767820667325,10.82877068650144,18.521940634259302,54.78515532660654,194.38790943455447,91.74298370496936,10.057832369791637,45.933686691863976,0.9489557164944901,87.2401486666666,997.9171006439327
12/11/2019,50.45767283680541,10.847729730188316,14.554202262808676,45.0151075901241,114.36541114297634,42.60804870222833,15.495509925895487,28.380784810606357,1.1733486421113268,79.5843832083333,1003.5260505681855
12/10/2019,44.7743764370255,10.829957760194242,13.025688539814787,43.51385841341023,116.6089914023137,49.677012556535594,27.96835140625,28.67277867803034,1.2857292611989546,68.479296,1005.0214452865519
12/9/2019,53.615717965972486,10.829403842315987,13.079946547516766,45.132454218803,126.7159209190139,55.41113972961592,19.82570908786228,33.866717254102284,1.1091837418148829,83.62489351811561,1008.8672558394727
12/8/2019,44.17270243737067,10.84292475115627,13.501242359259333,40.70392058049495,115.24742695944701,49.48465528864408,20.03110221354166,30.834589571640002,1.364150659301713,79.00696845833338,1009.6550934667354
12/7/2019,54.84002436458342,10.850042303030213,16.209975960165,45.597337771687826,140.1855290617331,62.99198146611745,19.12195523437508,35.784354569933036,1.2157096876613973,74.7175885,1012.1963500757639
12/6/2019,40.21447282291667,10.846892809469697,21.548026778254666,41.22667150644408,111.58584616432793,48.063378298245695,21.464716726151252,31.850389552233143,1.1701266823032974,76.9960830416666,1020.3501131339636
12/5/2019,18.736056633284534,10.834942535646,7.535736881388203,24.835267136268076,65.86893697335731,29.26056543415426,42.13665633854163,21.04094795328323,1.92831746401514,84.94818315277811,1023.1418032323091
